content,score,at
Aplikasi scam banyak hoax nya gw kasih bintang1 soalnya scam aplikasi jelek,1,2024-10-01 08:31:28
"aplikasi scam, ada orang Maxim Dateng ke sekolah bagi bagi saldo 200k, pas di pake ga bisa, marketing doang biar Maxim rame, MAXIM SCAM",1,2024-10-01 08:30:50
saldonya blum cair 200rb kecewa berat,1,2024-10-01 08:00:10
Aplikasi tolol. Sms / telp verifikasi number satu abad ga masuk masuk,1,2024-10-01 07:54:23
bgus,2,2024-10-01 00:59:55
Tidak bisa di batalkan nggak tau kenapa,2,2024-10-01 00:22:18
"Mapnya gak lengkap, sering salah, Driver nya juga gak ramah",1,2024-09-30 23:54:43
"notifikasi dengan keterangan ""akan segera tiba"" itu ga enak banget dipandangnya, informasi nya kurang jelas, ga bisa di chat sangat memperlambat waktu orderan, segera diperbaiki",1,2024-09-30 20:48:15
"Bru pertama kali coba sangatt sangat Mengecewakan dapat driver tidak sopan, tidak sesuai dengan pesanan dan arahan:) kedepannya tolong dong cari driver yg bener seperti apk sebelah:)",1,2024-09-30 20:07:24
"ga mau pake maxim mobil lagi!!! banyak banget keluhan selama pake maxim mobil, mulai dari titik penjemputan yang berubah tiba tiba, driver yang emosian, harga yang tiba tiba berubah padahal pas di klik 15 rb tapi pas sudah di titik tujuan malah berubah jadi 60rb ya aku yg mau berangkat ke sekolah juga kaget mana bawa uang pas pasan ga jelas banget nih maxim",1,2024-09-30 19:19:37
"jelek banget, drivernya juga gk sopan, kalo bisa diperbaiki lagi titiknya biar driver sama customer sama sama enak, kalau seperti ini gk nyaman pake aplikasinya, tolong di tingkatkan lagi. apalagi rute perjalannya (maps) lebih detail dan pas sesuai alamat.",1,2024-09-30 19:08:18
"Maxim skrg payah, Jeleknya pake banget. Asli deh.. Kecewa banget saya. Gayanya aja ngasih saldo bonus 200rb untuk potongan ongkir, tp giliran d pke malah saldonya gk diterusin ke driver padahal saldo bonusnya udah di potong. Jadi seakan kaya driver yang harus ngasih diskon potongan Giliran maximnya d komplain, d mintain penjelasannya, eh malah saldo di balikin TANPA PENJELASAN APAPUN & langsung ngasih pinalty ke driver. Parah sih ini mah Parah banget. Padahal driver gak salah apapun !",1,2024-09-30 18:16:21
maaf salah alamat ya,1,2024-09-30 17:09:55
ok,1,2024-09-30 17:09:38
PENIPUAN!!!! DIKASIH SALDO 200K KATANYA BISA BUAT BELI MAKANAN DLL TERNYATA BOHONG DASAR APK HARAM!,1,2024-09-30 16:13:55
Aplikasi tolol .. bikin payment non cash tapi gak bisa di gunakan pesan makanan,1,2024-09-30 15:07:49
Verifikasi SMS kenapa susah?????? Saya butuh cuma gara verifikasi ga bisa pesan hadeh grab gojek sudah bisa verivikasi wa hadeh,1,2024-09-30 13:03:50
pembodohan publik jangan didownload,1,2024-09-30 12:38:24
"CACAD, DISKON TIDAK BISA DICAIRKAN MENJADI GO-PAY ATO CASH",1,2024-09-30 12:21:19
g ikhlas ngasih diskon nya,1,2024-09-30 12:20:36
perlu d tingkatkan maps agar tidak rancu,2,2024-09-30 12:18:59
Maxim carnya 4 jam gk dapat dapat,1,2024-09-30 11:07:44
"Tidak bisa mengakses lokasi, udah ditandai titik lokasinya tapi gak bisa, malah ke GG sebelah, tujuannya pun udah udah jelas ,eeh gak bisa juga hadehh",1,2024-09-30 10:13:41
Pelayanan payah,1,2024-09-30 09:18:36
Dak garati do,2,2024-09-30 07:44:25
Layanan jasa transportasi yang buruk Harga di aplikasi penumpang sama drivernya berbeda kalau mobil 12.000 tetapi di aplikasi nya drivernya 30.000 Sangat buruk sekali apa lagi kebanyakan para driver maxim meminta bayaran lebih atau berbeda dengan aplikasi penumpang nya Sangat buruk sekali,2,2024-09-30 03:40:49
agak sedikit kemahalan,2,2024-09-29 22:32:33
Akun Ku Ngga Bisa Login Pas Bisa Kode Masuk Ngga Ada Ku Tunggu Baru Ada Beberapa Jam Kemudian Pas Coba Lagi Ngga Bs Karena Permintaan Login Telah Terlampaui Padhal Kan Baru 2-3 × Ku cb ulang2 Eh Kok Malah Kyk Keblock Aneh Emang Ni Apk Padhal Dulu Rating 5 Sekarang 1 aja,1,2024-09-29 20:37:37
Kagak niat bikin aplikasi ngurus aja masih kagak bener apalagi mau narik aja harus datang ke kantor aplikasi ribet,1,2024-09-29 20:33:59
Lelet banget nyari ridernya. Aplikasinya juga lambattt. Barusan di tipu driver. Pesen makanan. Nembaknya kemana. Minta bayaran by tf. Kok bisa sih sekelas maxim aplikasi bisa di hack,1,2024-09-29 19:56:25
layanan gak berkualitas.,1,2024-09-29 19:17:22
"kek.. setiap pesen maxim tu gaperna gercep pasti selalu telat aplg pagi pagi, ya salah jalan lah, harus nya kesini malah kesana",1,2024-09-29 19:12:51
scam jmbut,1,2024-09-29 15:57:30
mau pesan food aja susah bener.. burik,1,2024-09-29 15:46:13
Kenapa saya gk bisa login di maxim sudah berapa kali saya coba hasilnya sama gk bisa tolong perbaiki,1,2024-09-29 15:44:00
scam maxim,1,2024-09-29 15:38:31
Kenapa tidak tampil riwayat orderan saya yang di bandung,1,2024-09-29 15:28:30
Masa gocar nya pas hujan malah gak mau nerima orderan..... Kalau lokasinya dekat harganya murah pasti gak mau terima orderan.... Padahal guna gocar pasti untuk keadaan hujan..... Tpi malah gak mau terima orderan.... Aneh sama maxim ni......,1,2024-09-29 14:51:26
"komunikasi baik,",1,2024-09-29 14:38:15
aplikasi eror di suruh masukin nomor telepon tungguin kode nya gak ada tuh kode nya kekirim kirim,1,2024-09-29 14:36:39
hadeeh. ini apk gak bisa berkembang kayak apk ijokah.,1,2024-09-29 12:48:54
"pelayanan driver sangat tidak ramah👎👎👎👎👎👎👎👎👎👎👎 ➖️1️⃣. ngasih orderan sambil marah marah ga jelas dan ngedumel, bilang nya udah nunggu satu jam kepanasan pdhl 10 menit yg lalu orang rumah keluar ga ada siapa-siapa, ngasih orderan pun ga benerr disuruh ambil sendiri di tanah yang terbilang ini orderan cukup berat MAKSUDNYA APA????? sambil ngatain customer yang bikin sakit hati.plis lah perbaikin attitude driver nya udah 2x loh giniiiii. apa emng driver maxim gini semuaaa??????????????",1,2024-09-29 12:42:07
Driver ga bisa cancel... Jadi harus dapet konfirmasi dari cs dulu... Lah kalo cs yg niatnya ngerjain... Ampe kiamat ga bakal bisa di cancel... Tolong pihak aplikator... Pahami kondisi driver...,1,2024-09-29 12:41:25
Susah buat,2,2024-09-29 12:05:21
"Plis tolong bilang ke drivernya biar lebih amanah lagi, ga usah nerima orderan kalo ujung""nya dicancel saya udah muakk sama drama driver maxim, freak!!!",1,2024-09-29 10:30:50
"Biaya saat menaikan penumpang dan menurunkan penumpang berbeda,harusnya di perbaiki,saya menyesal pakai ojol ini.",1,2024-09-29 09:46:55
Susah nyari alamat nya,1,2024-09-29 08:20:47
"🤦🏻‍♀Iin ko 😜🤦🏻‍♀️😲🗿 xx i 8 kok👗🥲🙏😭,😁🙏😁⛷️",1,2024-09-29 07:56:47
"Dari kemarin aplikasi gua keluar,, eh pas gua mau masukin lagi kenapa serial kodenya enga muncul2🤦‍♀️😤 sampai akhirnya nomer gua enga bisa di daftarin lagi di aplikasi maxim, mksdnya apaan sih ah udah enga ngasih kode serial sekarang nomer gua blas enga bisa di daftarin di aplikasi ini 🤧 enga jelas amat dah 😡😒, ,, udah tau gua perlu buat berpergian make aplikasi ini kalo nomer gua enga bisa di daftarin gimana astaghfirullah 😤",2,2024-09-29 07:19:08
"navigasi peta jelek, ada arah yg lebih ringkas, malah diarahkan ke jalur jauh yg makan waktu 2x lipat",1,2024-09-29 03:11:01
"pelayanan buruk dapat pengemudi cabul, bagaimana ini maxim, semoga dapat di perbaiki sistem nya, agar dapat melaporkan hal yang tidak di inginkan,",1,2024-09-29 01:09:04
"Gak bisa masuk ke akun karena limit kode otp,padahal belum ada kode otp yg masuk😭😭😭",1,2024-09-29 00:24:08
sangat ramah dan cepat,2,2024-09-28 23:45:10
driver nya gajelas,1,2024-09-28 22:16:32
Tidak bisa login aplikasinya eror dari pagi,2,2024-09-28 21:28:04
Setiap kali pesan yang mobil pasti gak pernah datang dan pasti di cancel sama driver...gak ngerti ini aplikasi apaan...,1,2024-09-28 20:36:18
cukup baik,1,2024-09-28 19:42:09
Saya top up saldo kog nggk masuk ya. Aplikasi apaan ini,1,2024-09-28 19:23:32
"Lagi darurat lalu order maxim car tapi tidak ada yang menerima orderan tersebut, jika pun ada mereka langsung mengcancel orderan tersebut, tolong ditingkatkan lagi kinerja dan layanan nya",2,2024-09-28 19:00:20
"udah bagus, cuman maps nya kurang update dan akurat.",2,2024-09-28 18:36:03
"Selamat soreh, aplikasi Maxim saya keluar sendiri... setelah itu saya login tidak bisa,,, kodenya tidak ada di SMS bagaimana ya? Atau nomer saya ke blokir",2,2024-09-28 18:03:26
"Ni aplikasi knpa gampang bgt blokir no hp org ya , tiba2 saya gak bisa log in saat verivikasi no TLP , anehhh padahal saya butuh buat klaim riwayat perjalan,, nyusahin bgt",1,2024-09-28 16:28:41
Kok updeate sekaranga pas masuk kita harus kirim kode otoritas pas masuk kode otoritas kok gak bisa malah nomor telp telah terdaftar minta restrart lagi donk admin,1,2024-09-28 15:25:09
Kenapa nomer hp saya tidak bisa di masukin? Katanya jumlah telah terlampaui untuk nomer saya.,1,2024-09-28 15:08:38
apaan coba kode verifikasi aja lama banget,1,2024-09-28 15:03:06
Driper GK sopan,1,2024-09-28 14:53:45
"sy selaku drivernya maxim ,berasa kerja lebih cape dari pada nguli orderan sepi + murah ,potongan deposit besar ,yg cape siapa yg kaya siapa",1,2024-09-28 14:44:28
"Harus diperbaiki karna lokasi pencarian susah ditemukan, sangat repot",1,2024-09-28 13:56:59
"min ini gimana sii,disuruh login buat dapetin kode tapi ga di kirim kirim kode nya",2,2024-09-28 13:55:14
Mahalll,1,2024-09-28 13:32:39
"apk gak jelas otp dari lama Ampe hari ini gak keluar gimna customer makin banyak login otp GK keluar , abis log out mau login gak keluar otp , mau pake nomer baru juga",1,2024-09-28 13:26:09
Aplikasi bego,1,2024-09-28 13:24:07
Aplikasi dongoo Minta kode aj lama bgt,1,2024-09-28 13:15:20
"Jang kase tabiasa itu driver mo bilang p custumer nda ada doi 2 rbulah, sribulah.. Basa basi ini itu.. 10 kali ba order 10 kali tiada uang kecil",2,2024-09-28 13:03:19
"Apl tb2 logout, minta otp tdk muncul2...",1,2024-09-28 12:32:59
Apk apaan ini udah berkali kali login nomor tetep gabisa bahkan hapus download apk juga gak bisa,1,2024-09-28 12:32:01
Cs gaada driver bnyk,1,2024-09-28 12:05:59
"Apk kurang jelas, udh kode gak kekirim pake telfon di matikan sendiri.. udh gak usah beroperasi lagi nih aplikasi",1,2024-09-28 11:48:03
Di saya harganya 36.200 tp pas sampe malah di tagih 44.000. baru pertama pake padahal udh ga bagus gini. Gppa deh pake gojek lebih mahal tp amanah,1,2024-09-28 11:15:55
"Sumpah, dengan keadaan terpaksa harus order maxim yg tidak bermutu ini. Dimana para driver sepertinya tdk pernah diadakan briefing terkait sop dalam pelayanan pelanggan. Sungguh miris. Asli kebanyakan drivernya punya sdm bobrok",1,2024-09-28 11:11:08
"Tiba2 saya dikeluarkan dari akun saya, dah nomor hp yg didaftarkan gak aktif lagi. Padahal saya pengguna lama maxim (dari tahun 2019 sampe skrg) dan saya pengguna aktif.",1,2024-09-28 10:56:48
"Sering gangguan aplikasi nya, tidak seperti aplikasi sebelah",1,2024-09-28 10:50:49
gabisa masuk,1,2024-09-28 10:47:52
"Jaringan Maxim online, tidak perlu pakai voucher potongan segala. Itu yang membuat. Gangguan jaringan Maxim terganggu untuk pelanggan Maxim tersebut. Mohon di koreksi. Jangan sok-sokan. Perubahan jaringan segala. Pemotongan harga voucher segala. Tidak relevan. Tau. !!",2,2024-09-28 10:39:08
"Aplikasi bermasalah? Tiba2 ngeblank, dan skrg ga bs login, ud instal uninstal berkali2 tp tetep ga bs, dsuruh mencoba beberapa menit lg. Hufttt Bad!",1,2024-09-28 10:35:02
Kenapa aplikasi bisa keluar sendiri?,2,2024-09-28 10:32:09
Apk apaan ini giliran mau cepat selalu eror,1,2024-09-28 10:31:23
Aplikasi sering gangguan Driver juga terlalu lama datang ya padahal jarak sangat dekat,1,2024-09-28 10:30:00
Kalo gangguan susahnya minta ampun gua telat gegara lo ini fak,1,2024-09-28 10:27:39
"Aplikasi yang awalnya normal, tiba-tiba terjadi gangguan sistem yang berlangsung lama. ini sangat berakibat terhadap banyak ataupun sedikitnya orderan yang didapat, terimakasih MAXIM.",1,2024-09-28 10:24:34
"kurang kurangi gangguannya min, aplikasi terlalu sering gangguan, eror dll",1,2024-09-28 10:24:17
Aplikasi erorr tolong segera diperbaiki....,2,2024-09-28 10:24:10
Elor mulu,1,2024-09-28 10:22:14
"Aplikasi nya ngak bisa dibuka,ngak jelas",1,2024-09-28 10:21:59
Ke layanan trus pdhl kuota ada buka yg lain bisa buka Maxim ga bisa,1,2024-09-28 10:21:07
Aplikasi ku gangungan udah 3 Hari,1,2024-09-28 10:20:31
SUKA ERROR MELULU MEHUBUNGKAN LAYANAN KEMBALI TERUS,1,2024-09-28 10:13:52
"Aplikasi sampah, sering eror, hari ini eror terus tdk selesai jg",1,2024-09-28 10:11:45
aplikasi ngebug taee,1,2024-09-28 10:09:24
gakk bisa tersambung ke server,1,2024-09-28 10:09:09
maxim ini kurasa tolol tgal 28/09/24 aplikasi klen error apa cs klen gak pindah ke indriver maps klenpun gak akurat sering kali aplikasi klen rusak,1,2024-09-28 10:07:15
"Sering eror map dan harus verifikasi apa,an..? Tolong dong di perbaiki ini aplikasi Maxim, jgn bikin ribet penumpang lah.. Haduh kacau",2,2024-09-28 10:06:56
Aplikasi eror kaya developernya yang bikin udah verifikasi masih aja di ulang2 terus hes,2,2024-09-28 10:02:24
"Menghubungkan terus, katanya tidak ada koneksi internet, padahal sinyal lancar² saja, buka aplikasi lain bisa",1,2024-09-28 10:01:34
Ga bisa dibuka .,1,2024-09-28 10:00:30
Banyak merugi kan orang lain Selagi di butuh kan malah eror Kayak nya ini tak pantas jadi transportasi,1,2024-09-28 09:59:02
Kenapa tidak bisa ya,1,2024-09-28 09:57:30
gak bisa masuk alasan nya internet padahal pake wifi,1,2024-09-28 09:57:26
"Orderan di taxi driver jdi anyep gegara apk penumpang lgi eror sama apk adriver saling berhubungan,,minimal kalau buat aplikasi jgn bikin rugi driver,,330.000 untuk jdi driver prioritas,,ujung ujungnya anyep...",1,2024-09-28 09:57:10
Maps tidak akurat tolong di perbaikin,1,2024-09-28 09:56:47
"Aplikasi busuk banget susah login, sudah koneksinya ke internet",2,2024-09-28 09:55:38
Gak bisa order gak bilang login sampai telat gw hadeh,1,2024-09-28 09:55:01
Tololll servernya nya down anjingggggg,1,2024-09-28 09:53:37
D perbaiki aplikasix,1,2024-09-28 09:47:42
Kenapa saya gak bisa buka app maxim pagi ini. Sampai sekarang,2,2024-09-28 09:47:24
maxsim nya Kya anj lah gw login berulang kali ttp gabisa kan jadi telat diot,2,2024-09-28 09:41:27
Alah lemot kode ga d kirim terus jadinya aku batalain kegiatan nya,1,2024-09-28 09:41:24
susah di buka nya,1,2024-09-28 09:39:06
Aplikasi nya jelek apaan loading² mulu eh di suruh login ulang gajelas,1,2024-09-28 09:38:06
"apk jelek, bukan nya di permudah malah di persulit",1,2024-09-28 09:34:54
"hari ini maxsim kenapa ya, saya jadi telat",2,2024-09-28 09:31:01
Aplikasi tiba2 error dan susah login,1,2024-09-28 09:21:00
"Apk sering error,sering banget. Pembaca maps nya kurang akurat. Jarak tempuh apk gk sesuai.argo nya gk sesuai pastinya.",1,2024-09-28 09:18:41
Susah masuk aplikasi,1,2024-09-28 09:16:11
"Sok murah, error lagi",1,2024-09-28 09:15:59
"Lagi butuh2nya tidak dapat masuk aplikasi,,,rusak",1,2024-09-28 09:08:52
Makin lama makin parah Login gak bisa disuruh periksa koneksi internet anda Padahal Kouta ada,1,2024-09-28 09:07:38
"maxim bego gabisa masuk layanan nyalahin internet tolol, jelas jelas gua buka medsos bisa.",1,2024-09-28 09:06:58
orang lagi usaha malah maintenece di jam sibuk goblog teh,1,2024-09-28 09:06:23
Aplikasi TOLOL .. Buat login aja ga masuk masuk !!,1,2024-09-28 09:05:56
Lu bikin aplikasi yang bener gua mau mesan aja layanan nga dapat² periksa internet pala bapa mu,1,2024-09-28 09:03:50
"lain kali kalo pagi-pagi Jan lama nyari driver ny, jadi sering terlambat aku jink, knp lama buka apk nya?",1,2024-09-28 09:03:28
"Aplikasi suka error, lebih baik pakai grab/gojek tarif lebih murah ketimbang maxim udah mahal sering error hahahaa bentar lagi semua akan kembali ke grab/gojek",1,2024-09-28 09:00:40
"Aplikasi jelek, bisa² nya error saat aku lagi butih² nya",1,2024-09-28 09:00:22
Apk gak bisa di buka Padahal udah nunggu lama sampa saya pergi nya make gojek ke tempat kerja,1,2024-09-28 08:59:06
APK Murahan Eror terus,1,2024-09-28 08:58:55
Aplikasi anj jaringan bagus malah gak bisa login ngentod,2,2024-09-28 08:58:35
"aneh jaringan bagus, internet banyak ga bisa masuk ke aplikasi malah di suruh ngecek paket internet",1,2024-09-28 08:58:22
"Aplikasi babi, eror trus",1,2024-09-28 08:56:52
"Kenapa gangguan amplikasi, gimana orang mau ngoder",1,2024-09-28 08:56:05
"Tidak dapat login , , , Apakah ada update atau maintenance",1,2024-09-28 08:55:47
"Aplikasi suka eror bikin males makenya, ayolah developer perbaiki Aplikasi, padahal sudah enak pakai Maxim...",1,2024-09-28 08:54:50
Gak jelas apps nya masa di buka gak bisa,1,2024-09-28 08:54:35
Eror mulu dri kamrin,1,2024-09-28 08:53:31
"maintenance server lama , jaringan dll bagus ga bisa di buka",1,2024-09-28 08:52:59
Kenapa Maxim gak bisa di buka padahal lagi butuh banget hari ini mau pulang tadi malam bagus aja padahal. Udah berapa kali instal ulang tetap gak bisa ke buka,2,2024-09-28 08:52:42
Buruk,1,2024-09-28 08:52:13
"Pantesan aja penumpang Maxim pada kabur semua, ternyata aplikasi maxim lagi eror.. Gimana mau nyari orderan kalo eror gini, hadeeehhh ripuh kalo gini caranya..🤦🤦",2,2024-09-28 08:52:04
Tiba tiba saat buru2 aplikasi malah down ga bjsa di buka sama sekali,1,2024-09-28 08:48:12
Keluar sendiri,1,2024-09-28 08:47:26
Pqrah,1,2024-09-28 08:47:16
Sering eror pas di pagi hari atau sore hari .sangat disayangkan jam sibuk tapi eror ga bisa pesan ...,1,2024-09-28 08:47:12
Apk gak guna login aja gabjsa,1,2024-09-28 08:46:38
Kenapa eror masalah jaringan lagii???,1,2024-09-28 08:46:23
Sering eror dan driver suka minta ongkos lebih,1,2024-09-28 08:45:34
Membantu,2,2024-09-28 08:45:24
Gak guna gak bisa dibuka,1,2024-09-28 08:44:45
Data ada banyak tapi aplikasi tidak jadi gimana siehhh,2,2024-09-28 08:39:53
Kenapa saat2 penting urgent jam mepet mau berangkat kerja malah aplikasi tidak bisa digunakan,1,2024-09-28 08:39:41
Kenapa menghubungkan ke layanan terusss yaaaa jaringan bagus padahal,2,2024-09-28 08:39:12
dibuka muter2 terus ga jelas bngt apknya,1,2024-09-28 08:38:59
Apk nya error susah masuk ini gimana,1,2024-09-28 08:37:13
Tiba tiba eror tidak dapat layanan coba lagi apa apaan apk tlol,1,2024-09-28 08:36:51
"Sayang sekali saya di ban dari maxim tanpa tahu penyebabnya, padahal dikota saya maxim sepi, dengan memban saya artinya customer -1",1,2024-09-28 08:36:17
Halo min sedikit saran tolong dong apk inu perbaikin jangan bike ya dong di urusin kek vermuk ..tpi apk ini urusin karna klo eroor terus bikin penumpang ga betah hal hasil pindah ke apk lain seperti gojek...grab dll ...min min gimana maxim mau ngalahin apk lain kalau eroor mulu ...,1,2024-09-28 08:36:10
"ini kenapa pas lagi order server down, mau chat gak bisa",2,2024-09-28 08:33:59
Knp menghubungkan ke layanan terusss padahal jaringan bagusss,1,2024-09-28 08:33:36
"Ko jdi anehsi, malah gbs msk dan ada pemberitahuan gada layanan dan jaringan internet g stabil pdahal saya buka sosmed lain bisa sampai² pake data pribadi ttp aja gbs msk. Adapaya",2,2024-09-28 08:32:36
"Aplikasi tiba2 gak bisa di buka, padahal lg bener2 butuh maxim, tp pagi ini aplikasi gak bisa di buka, sy ketik barangkali butuh update tp ternyata tidak, kecewa",2,2024-09-28 08:32:12
Sering gangguan,1,2024-09-28 08:31:49
Aplikasi apaan susah banget,1,2024-09-28 08:30:46
Aplikasi tolong diperbaiki sering error dak bisa dibuka,1,2024-09-28 08:29:59
Sering error,1,2024-09-28 08:29:16
"Eror x nih, pagi"" udh dibikin emosi, mau masuk apk masa suruh cek. Internet lah internet gua aja masih ada 9 GB ya x mau masuk apk harus pakai kuota internet smpe 9 GB hahahaaaa... Kok jadi bobrok sih",2,2024-09-28 08:28:18
GK bisa di buka tolong di benerin,1,2024-09-28 08:27:23
"apk lelet, sinyal bagus gbisa msuk apk",1,2024-09-28 08:26:02
Aplikasi sampah menghubungkan ke layanan terus padahal sinyal lancar lancar aja,1,2024-09-28 08:19:05
aplikasi secara tiba-tiba tidak bisa masuk,1,2024-09-28 08:17:34
Buruk,1,2024-09-28 08:16:10
Buruk,1,2024-09-28 08:15:14
Ga bisa d pake aplikasi nya,1,2024-09-28 08:13:11
Tolong bilangin ke Drivernya yah kalo parkir tidak usah sembarangan dan diberi tau malah nyolot balik ke tempat yang punya usaha nya,1,2024-09-28 00:12:35
"GK bisa login cok..SMS-nya tak masuk""",1,2024-09-27 23:58:50
Jelek,1,2024-09-27 23:54:54
B*b*,1,2024-09-27 23:07:51
"Sangat tidak memuakan, sy topup kaspro spy tdk repot tapi drivernya pada gam mau terima orderan sy, Memang sangat membabikan.. jjr sy sangat sangat kecewa. Tolong dong ksih edukasi sma drive2nya",1,2024-09-27 21:50:51
"Mau bayar pake non tunai, sudah top up maxim wallet, malah ga bisa kepake uangnya. Gimana mau maju aplikasi indonesia kalau gini pengembangnya",1,2024-09-27 21:04:44
"Dak perlu download, fasilitas dak enak, galak ngatur penumpang dan pelayanan sangat amat buruk apolagi hobi cancel wong sekendak jidat",1,2024-09-27 20:11:11
"Kode OTP buat daftar tidak dikirimkan, aplikasi yang sangat buruk kalah dengan grab dan gojek",1,2024-09-27 19:29:34
Susah dapet driver,1,2024-09-27 19:25:01
banyak driver yang klo pas dikasih uang lebih sengaja ga ngasih kembalian. dan klo pas diminta pun kadang ada yang ngedumel.,2,2024-09-27 18:50:06
sangat baik,2,2024-09-27 15:32:10
Jelek anj,1,2024-09-27 13:44:54
Untuk para deprave nya adakan uang kecil lah jangan sampai tidak ada kembali nya,1,2024-09-27 12:49:39
"apk gak jelas, sementara nunggu driver langsung ke loh out sendiri apk nya, pas mau login ulang di suruh masukin kode terus kodenya gak muncul2, mana drivernya udah ada lagi jadi gak bisa hubungin driver.",1,2024-09-27 12:28:23
"tidak ada promo kayak aplikasi yang lain.nya,,,, tolong kasih promo seperti aplikasi ijo sebelah. biar costumer semakin bertambah, dan permudah pencari di alamat tujuan dan alamat penjemputan",1,2024-09-27 09:27:13
NGISI KASPRO MALAH SALDO GAMASUK PARAH,1,2024-09-27 09:18:05
Kenapa tidak bisa menemukan titik lokasi di mana masa di Jayapura,2,2024-09-27 07:24:46
"Aplikasi bobrok, gak bisa login terus, gak guna!",1,2024-09-27 06:17:43
"gajelas adik saya di bikin kesasar di bawa kemana tau,udh kyk mau di culik kata adik saya",1,2024-09-27 04:11:13
Padahal udah lama nih aplikasi tapi nyari alamat susahnya minta ampun dibenahin dong biar customer nyaman nyari alamat sampe Berjam jam nggk ketemu titiknya Mulu kacau nih aplikasi,1,2024-09-27 00:12:03
Kenapa mau login masukin nmr tlpn kode Verifikasi nya gk dikirim kirim si lama bnr ampun,1,2024-09-27 00:09:13
aplikasi asu padahal dari pihak maxim ngasi uang tunai 200 rb tapi ga bisa digunain anjg lawak bat sama aja kaya scam jir aduhh bewan epep aja lah yok kita,1,2024-09-26 23:14:37
"Harga murah ,driver GK punya untung ,abis pake bensin ,,,",1,2024-09-26 22:53:34
"Tidak biksa di akses, notif di layar ada bug aplikasi tidak dapat di gunakan, setelah itu auto close. Niatnya buat kiriman pesanan tAPI SEPERti ini. HP A04. SAMSUNG",1,2024-09-26 21:08:14
"aplikasi gajelas, cari drivernya susah bgt pada nolak rezeki. sama sistem aplikasinya yg aneh masa saya pesan makanan udah di konfirmasi tapi pas di cek malah gabisa dan akhirnya ke double. terus juga masa saya di marah marahin sm drivernya, dikatain kudet, disuruh belajar lagi yg bener PADAHAL DIA YG SALAH LOHHH GA NGERTI SAYA PESAN DI JAM BERAPA TAPI DIA MALAH DATANG DULUAN SEBELUM WAKTUNYA TAPI MALAH NYALAHIN SAYA GA NGERTI PAKAI APLIKASI??!!!! POKONYA BIG NOO SAYA KECEWA BERAT.",1,2024-09-26 21:00:31
ok,2,2024-09-26 19:14:32
Driver nya ugal ugal an pengalaman jelek naek Maxim,1,2024-09-26 19:05:12
"apa' an bgt, dri sekolah dpt 200rb saldo Maxim, emg masuk siee, tp ga bisa d pakeeeee, ampun bgttt sieee. dari awal jg udh curiga si masa iya 1 orang dpt 200rb, bang IKBAL gua tandain ya lu",1,2024-09-26 19:02:01
"apa²an bgt, dri sekolah dpt 200rb saldo Maxim, emg masuk siee, tp ga bisa d pakeeeee, ampun bgt dahh🙄. dari awal jg udh curiga si masa iya 1 orang 200rb😭😭😭😭, bang IKBAL gua tandain ya lu🥴🥴🫵🏻🫵🏻🫵🏻.",1,2024-09-26 18:58:41
"kasihan driver nya jauh jauh yang dapat dari lokasi penjemputan, perbaiki aplikasi nya agar lebih bagus, naikkan tarif untuk driver.",2,2024-09-26 17:37:29
"Sebenernya udah bagus tapi sayang mapnya suka ngaco,mungkin bisa pake map google aja yah. Kalo nyasar kan malah merepotkan. Mau cancel orderan makanan susahnya minta ampun, apk suka ngeblank.",2,2024-09-26 16:25:01
"Titik nya tidak jelas dan, nyari alamat nya susah, lain yang di cari lain yang keluar, ntah emang daerah yang di cari ga ada di maps nya, ntah emang error maxim nya, masa dari dulu2 nyari alamat perumahan pesona lebak wangi 2 yang di Tangerang, yang keluar malah yang di Jakarta,",1,2024-09-26 15:09:17
Segera hadirkan pembayaran nomor tunai dong,2,2024-09-26 14:47:06
Maps di aplikasi versi android 3.15 keatas kok cuman kotak2 kosong tidak ada jalan dan rutenya ?!! Mohon diperbaiki aplikasinya. Terima kasih,1,2024-09-26 14:25:20
Cara laporkan druiver ga bisa,1,2024-09-26 10:28:08
leher,1,2024-09-26 10:13:52
Penipu kelas kakap Scam scam scam scam scam,1,2024-09-26 10:13:48
Tindak lanjuti driver plat BM 1638 VF,1,2024-09-26 09:16:52
tindak lanjuti BM 1638 VF,1,2024-09-26 09:16:30
Jelek aplikasinya susah dikasih kode verifikasi,1,2024-09-26 09:04:34
Hancurin tarif ojol,1,2024-09-26 09:00:21
Aplikasi nya ga jelas.. Ketika hari hujan tidak mau Terima order.,1,2024-09-26 08:18:42
isi saldo maxime wallet melalui saldo bank yg terisi ga sesuai sm nominal waktu top up nya hadeh,1,2024-09-26 08:17:53
"Parah sih, setiap pesen car pasti dapat driver yang ugal ugalan, pernah dapat lagi mabuk drivernya, dipintunya ada minuman. Lapor ke pengaduan juga ga ada tanggapan sama sekali ini aplikasi. Sorry saya uninstall , perbaiki dulu sistemnya...",1,2024-09-26 07:57:37
"Drever nya jelek...aplikasi tidak bermutu maxim mending gojek.. yg ramah"" drver nya",1,2024-09-26 07:13:54
Bagus,2,2024-09-26 02:49:59
