processed_text,translated_text,converted_text,vader_sentiment,compound
"['hoaxxx', 'mana', 'rbu', 'kau', 'janji', 'hdehhhh']","['hoaxxx', 'where', 'rbu', 'you', 'promise', 'hdehhhh']",hoaxxx where rbu you promise hdehhhh,positif,0.3182
"['sangat', 'kecewa', 'kerja', 'maxim', 'vermuk', 'langsung', 'terhubungsehingga', 'ganggu', 'kerja', 'lapang', 'jija', 'langgan', 'komplain', 'admin', 'langsung', 'respon', 'negatif', 'driver', 'maxim', 'harga', 'driver']","['very', 'disappointed', 'work', 'maxim', 'vermuk', 'direct', 'connected so', 'disturb', 'work', 'field', 'Jija', 'Langsan', ','Complaints', 'admin', 'direct', 'response', 'negative', 'driver', 'maxim', 'price', 'driver']",very disappointed work maxim vermuk direct connected so disturb work field Jija Langsan Complaints admin direct response negative driver maxim price driver,negatif,-0.9229
"['banyak', 'kendara', 'dekat', 'tp', 'order', 'malah', 'kasih', 'kendara', 'yg', 'jauh', 'jdnya', 'tunggu', 'lama', 'driver', 'terlalu', 'manja', 'dgn', 'fitur', 'percepatpenambahan', 'harga']","['many', 'Kendara', 'close', 'tp', 'order', 'instead', 'love', 'kendara', 'yang', 'far', 'so', 'wait', ','long ',' driver ',' too ',' spoiled ',' with ',' features', 'accelerates',' price ']",many Kendara close tp order instead love kendara yang far so wait long  driver  too  spoiled  with  features accelerates price ,positif,0.6369
"['aplikasi', 'dongo', 'titik', 'jemput', 'nya', 'suka', 'ubah', 'sendiri']","['application', 'dongo', 'point', 'pick up', 'it', 'like', 'change', 'yourself']",application dongo point pick up it like change yourself,positif,0.3612
"['hp', 'tinggal', 'iphone', 'pro', 'fi', 'kembali', 'mohon', 'kembali']","['hp', 'stay', 'iPhone', 'Pro', 'Fi', 'Back', 'Please', 'Back']",hp stay iPhone Pro Fi Back Please Back,positif,0.3182
"['maps', 'gak', 'akurat', 'pesan', 'makan', 'sering', 'kosong', 'warung', 'tutup', 'orang', 'udah', 'lapar', 'jadi', 'tambah', 'emosi', 'garagara', 'aplikasi', 'gak', 'jelas']","['maps', 'no', 'accurate', 'message', 'eat', 'often', 'empty', 'stall', 'closed', 'people', 'already', 'hungry', ''So ',' added ',' emotional ',' garagara ',' application ',' no ',' explained ']",maps no accurate message eat often empty stall closed people already hungry So  added  emotional  garagara  application  no  explained ,negatif,-0.6275
"['maxim', 'terlalu', 'sederhanabahkan', 'buat', 'akun', 'order', 'kurang', 'aman', 'sih', 'driver', 'maximkarena', 'lebih', 'mudah', 'tipu', 'kasihan', 'driver', 'maxim', 'yg', 'sedang', 'juang', 'cari', 'rupiah']","['Maxim', 'too', 'Simplifying', 'Create', 'Account', 'Order', 'Less', 'Safe', 'Sih', 'Driver', 'Maximkarena', 'More', '', ','Easy ',' trick ',' sorry ',' driver ',' Maxim ',' YG ',' Medium ',' Juang ',' Search ',' Rupiah ']",Maxim too Simplifying Create Account Order Less Safe Sih Driver Maximkarena More  Easy  trick  sorry  driver  Maxim  YG  Medium  Juang  Search  Rupiah ,positif,0.7057
"['google', 'maps', 'nya', 'kurang', 'byk', 'lokasi', 'tdk', 'terupdate', 'pdhl', 'aplikasi', 'belah', 'tempat', 'terus', 'kalo', 'cari', 'laksana', 'sdh', 'batal', 'dr', 'driver', 'bs', 'jemput', 'jd', 'pas', 'udh', 'jalan', 'sama', 'order', 'yg', 'lebih', 'cepet', 'eh', 'driver', 'dua', 'baru', 'smpe', 'akibat', 'salah', 'paham', 'trs', 'bayar', 'debittftopup', 'blm', 'sedia']","['Google', 'Maps','nya ',' Less ',' Byk ',' Location ',' No ',' Updated ',' Pdhl ',' Application ',' split ',' place ',' place ','Then ',' If ',' Search ',' Like ',' Sdh ',' Cancel ',' Dr. ',' Driver ',' BS ',' Pick up ',' JD ',' Pas', 'Udh', 'Way', 'Same', 'Order', 'Yang', 'More', 'Hurry', 'Eh', 'Driver', 'Two', 'New', 'SMPE', 'As a result', ','Wrong ',' Understand ',' Trs', 'Pay', 'Debitttfttopup', 'Blm', 'available']",Google Mapsnya  Less  Byk  Location  No  Updated  Pdhl  Application  split  place  place Then  If  Search  Like  Sdh  Cancel  Dr.  Driver  BS  Pick up  JD  Pas Udh Way Same Order Yang More Hurry Eh Driver Two New SMPE As a result Wrong  Understand  Trs Pay Debitttfttopup Blm available,negatif,-0.6041
"['tidaj', 'guna', 'aplikasi', 'nya', 'mau', 'login', 'kode', 'otp', 'kirim', 'sampe', 'sekarangdriver', 'banyak', 'tolak', 'kaspro', 'turun', 'bintang', 'nya', 'dlu', 'kalau', 'aplikasi', 'udh', 'guna', 'baru', 'kasi', 'bintang', 'penuh']","['tidaj', 'use', 'application', 'its', 'want', 'login', 'code', 'OTP', 'send', 'sampe', 'nowdriver', 'many', ','Reject ',' Kaspro ',' down ',' Star ',' His', 'Dlu', 'If', 'Application', 'Udh', 'Guna', 'New', 'Kasi', 'Star', 'full']",tidaj use application its want login code OTP send sampe nowdriver many Reject  Kaspro  down  Star  His Dlu If Application Udh Guna New Kasi Star full,negatif,-0.34
"['mau', 'login', 'aja', 'gk', 'masuk', 'krna', 'kode', 'verifikasi', 'yg', 'kirim', 'lewar', 'sms', 'tak', 'kunjung', 'datang', 'baik', 'sistim', 'aplikasi']","['want', 'login', 'just', 'no', 'enter', 'because', 'code', 'verification', 'that', 'sent', 'lewar', 'sms','No ',' visit ',' come ',' good ',' system ',' application ']",want login just no enter because code verification that sent lewar smsNo  visit  come  good  system  application ,positif,0.25
"['driver', 'maxim', 'ga', 'sopan', 'santun', 'nya', 'salah', 'kirim', 'barang', 'gaada', 'minta', 'maaf', 'kok', 'malah', 'nyolot', 'bilang', 'ambil', 'aja', 'sendiri', 'kali', 'seleksi', 'kalo', 'cari', 'karyawan']","['Driver', 'Maxim', 'Ga', 'Polite', 'Polite','nya ',' Wrong ',' Send ',' Goods', 'Gaada', 'Ask', 'Sorry', ','How ',' instead ',' nyolot ',' say ',' take ',' just ',' alone ',' times', 'selection', 'if', 'search', 'employees']",Driver Maxim Ga Polite Politenya  Wrong  Send  Goods Gaada Ask Sorry How  instead  nyolot  say  take  just  alone  times selection if search employees,negatif,-0.6597
"['aplikasi', 'flopppppp', 'gak', 'jelas']","['application', 'flopppppp', 'no', 'explained']",application flopppppp no explained,negatif,-0.296
"['ketemu', 'mbak', 'spg', 'maxim', 'suruh', 'download', 'maxim', 'beri', 'saldo', 'voucher', 'ribu', 'pakai', 'minimal', 'jgn', 'scam', 'lah', 'maxim', 'moga', 'depan', 'baik']","['Meet', 'Ms.', 'Spg', 'Maxim', 'Tell', 'Download', 'Maxim', 'Give', 'Balance', 'Voucher', 'Thousand', 'Using', 'Use', 'Minimum ',' don't ',' scam ',' lah ',' maxim ',' hope ',' front ',' good ']",Meet Ms. Spg Maxim Tell Download Maxim Give Balance Voucher Thousand Using Use Minimum  dont  scam  lah  maxim  hope  front  good ,positif,0.8315
"['syaa', 'udahh', 'sen', 'order', 'mobil', 'orang', 'tpi', 'pihak', 'maxim', 'kena', 'cash', 'orang', 'ribu', 'aplikasi', 'argo', 'nyaa', 'ribu', 'kena', 'cas', 'orang', 'jdi', 'nambah', 'ribuk', 'truss', 'biaya', 'parkir', 'ribu', 'biaya', 'pihak', 'bandara', 'ribu', 'total', 'ribu', 'lebih', 'parahhhh', 'gak', 'sesuai', 'dngan', 'argo', 'aplikasi', 'padahal', 'syaa', 'dah', 'psen', 'buat', 'orang']","['Shaaa', 'already', 'Sen', 'Order', 'Car', 'People', 'TPi', 'Party', 'Maxim', 'hit', 'Cash', 'Cash', 'People', ','thousand ',' applications', 'argo', 'nhala', 'thousand', 'hit', 'Cas',' Cas', 'people', 'jdi', 'add', 'ribuk', 'ribuk', 'ribuk', 'truss',' cost ', 'parking', 'thousand', 'cost', 'party', 'airport', 'thousand', 'total', 'thousand', 'thousand', 'more', 'more', 'Parahhhh', 'no', 'appropriate', '', 'With ',' Argo ',' Application ',' even though ',' Syaa ',' Dah ',' Psen ',' Create ',' People ']",Shaaa already Sen Order Car People TPi Party Maxim hit Cash Cash People thousand  applications argo nhala thousand hit Cas Cas people jdi add ribuk ribuk ribuk truss cost  parking thousand cost party airport thousand total thousand thousand more more Parahhhh no appropriate  With  Argo  Application  even though  Syaa  Dah  Psen  Create  People ,positif,0.5801
"['driver', 'lama', 'gak', 'jelas', 'pesan', 'lama', 'drivernya']","['Driver', 'old', 'no', 'explained', 'message', 'old', 'driver']",Driver old no explained message old driver,negatif,-0.296
"['mapsa', 'gajelas', 'masa', 'tikik', 'penjemutan', 'lokasi', 'ada', 'jauh', 'km', 'jadi', 'jemput', 'dong', 'bukan', 'ojolnya']","['Mapsa', 'Gajlelas', 'Time', 'Tikik', 'Turnkering', 'Location', 'There', 'Far', 'Km', 'So', 'Pick up', 'Dong', ','no ',' the ojol ']",Mapsa Gajlelas Time Tikik Turnkering Location There Far Km So Pick up Dong no  the ojol ,negatif,-0.296
"['bagus', 'cuman', 'kalo', 'order', 'makan', 'mud', 'susah', 'banget', 'sampe', 'jam', 'gak']","['good', 'only', 'if', 'order', 'eat', 'mud', 'difficult', 'really', 'until', 'clock', 'no']",good only if order eat mud difficult really until clock no,negatif,-0.2648
"['driver', 'nya', 'salah', 'jalan', 'mulu']","['Driver', 'His', 'Wrong', 'Way', 'Mulu']",Driver His Wrong Way Mulu,negatif,-0.4767
"['tibatiba', 'log', 'out', 'gak', 'login', 'riwayat', 'order', 'gak', 'lihat', 'gak', 'log', 'in', 'gak', 'reimburse', 'kantor', 'jadi', 'bad', 'app']","['suddenly', 'log', 'out', 'no', 'login', 'history', 'order', 'no', 'see', 'no', 'log', 'in', 'No ',' Reimburse ',' Office ',' So ',' Bad ',' App ']",suddenly log out no login history order no see no log in No  Reimburse  Office  So  Bad  App ,negatif,-0.8908
"['harga', 'memang', 'murah', 'segi', 'aplikasi', 'sangat', 'user', 'friendly', 'alamat', 'sangat', 'sulit', 'cari', 'mes', 'driver', 'jebak', 'karna', 'diri', 'satu', 'halaman', 'mesan']","['price', 'indeed', 'cheap', 'aspects', 'application', 'very', 'user', 'friendly', 'address', 'very', 'difficult', 'find', ','mes', 'driver', 'trap', 'because', 'self', 'one', 'page', 'mesan']",price indeed cheap aspects application very user friendly address very difficult find mes driver trap because self one page mesan,negatif,-0.1567
"['semenjak', 'update', 'apk', 'nya', 'trus', 'pilih', 'harga', 'mud', 'ramah', 'kalo', 'cust', 'ngambil', 'harga', 'yg', 'murahh', 'udh', 'hari', 'belakang', 'sen', 'aja', 'yg', 'bikin', 'kesel', 'gk', 'kasih', 'helm', 'pas', 'ngojek', 'siang', 'hari', 'yg', 'sering', 'minta', 'dibatalin', 'sadar', 'diri', 'kok', 'gk', 'bakal', 'ngasihh', 'ongkos', 'pas', 'lebihin']","['since', 'update', 'apk', 'it', 'then', 'choose', 'price', 'mud', 'friendly', 'if', 'cust', 'take', ','The price ',' YG ',' Cheap ',' Udh ',' Day ',' Back ',' Sen ',' Just ',' Yang ',' Make ',' Upset ',' GK ',' Love ', 'helmet', 'fitting', 'ngojek', 'afternoon', 'day', 'that', 'often', 'ask', 'canced', 'realize', 'self', 'how', ','not ',' going ',' giving ',' fare ',' fitting ',' greater ']",since update apk it then choose price mud friendly if cust take The price  YG  Cheap  Udh  Day  Back  Sen  Just  Yang  Make  Upset  GK  Love  helmet fitting ngojek afternoon day that often ask canced realize self how not  going  giving  fare  fitting  greater ,positif,0.7402
"['driver', 'banyak', 'gak', 'yg', 'mau', 'ambil', 'order', 'wkwkwkwkwk']","['Driver', 'Lots', 'No', 'Yang', 'Want', 'Take', 'Order', 'wkwkwkwkwk']",Driver Lots No Yang Want Take Order wkwkwkwkwk,negatif,-0.2263
"['gmn', 'to', 'xim', 'mau', 'login', 'kow', 'gax', 'sms', 'gax', 'masuk', 'payah']","['gmn', 'to', 'xim', 'want', 'login', 'kow', 'Gax', 'SMS', 'Gax', 'Gax', 'Enter', 'Poly']",gmn to xim want login kow Gax SMS Gax Gax Enter Poly,positif,0.0772
"['aplikasi', 'yg', 'bantu']","['Application', 'YG', 'Help']",Application YG Help,positif,0.4019
['bagus'],['Good'],Good,positif,0.4404
['bad'],['bad'],bad,negatif,-0.5423
"['aplikasi', 'gajelas', 'gw', 'nunggu', 'kode', 'mau', 'login', 'jam', 'baru', 'muncul', 'sampe', 'ga', 'login', 'molor', 'kali', 'kerja', 'nya', 'haruasnya', 'jagan', 'kasih', 'bintang', 'ga', 'jelas']","['Applications', 'Gajlelas', 'I', 'Waiting', 'Waiting', 'Code', 'Want', 'Login', 'Clock', 'New', 'Appears', 'SAME', 'GA', ','Login ',' Molor ',' Time ',' Work ',' Him ',' Haruasnya ',' Jagan ',' Love ',' Star ',' Ga ',' explained ']",Applications Gajlelas I Waiting Waiting Code Want Login Clock New Appears SAME GA Login  Molor  Time  Work  Him  Haruasnya  Jagan  Love  Star  Ga  explained ,positif,0.6705
"['ita', 'kode', 'login', 'ga', 'kasih', 'mulu', 'padahl', 'mw', 'login', 'mw', 'pake', 'login', 'ja', 'ga', 'parah', 'aplikasi', 'tetangga', 'login', 'gampang', 'udah', 'ganti', 'no', 'login', 'ga', 'mulu', 'parak', 'maxim', 'parah']","['Ita', 'Code', 'Login', 'Ga', 'Love', 'Mulu', 'Padahl', 'MW', 'Login', 'MW', 'Use', 'Login', ','Ja ',' no ',' bad ',' application ',' neighbor ',' login ',' easy ',' already ',' change ',' no ',' login ',' no ',' first ', 'Parak', 'Maxim', 'Severe']",Ita Code Login Ga Love Mulu Padahl MW Login MW Use Login Ja  no  bad  application  neighbor  login  easy  already  change  no  login  no  first  Parak Maxim Severe,negatif,-0.5574
"['diver', 'laku', 'tindak', 'keras', 'perkosa']","['diver', 'behavior', 'act', 'hard', 'raped']",diver behavior act hard raped,negatif,-0.7184
"['kecewa', 'layan', 'maxim', 'lapor', 'kait', 'hp', 'tinggal', 'kirim', 'driver', 'nya', 'malah', 'blokir', 'driver', 'nya', 'jelas', 'pihak', 'maxim']","['disappointed', 'service', 'Maxim', 'report', 'hook', 'hp', 'stay', 'send', 'driver', 'it', 'instead', 'blocked', ','Driver ',' ',' explained ',' party ',' maxim ']",disappointed service Maxim report hook hp stay send driver it instead blocked Driver   explained  party  maxim ,negatif,-0.3612
"['berhatihatilah', 'bila', 'guna', 'jasa', 'semua', 'driver', 'nya', 'orang', 'ramah']","['Trusted', 'if', 'use', 'service', 'all', 'driver', 'his', 'people', 'friendly']",Trusted if use service all driver his people friendly,positif,0.743
"['development', 'aplikasi', 'kalau', 'bikin', 'rute', 'cerdas', 'dikit', 'jangan', 'asal', 'rute', 'dekat', 'jelas', 'malah', 'bikin', 'rute', 'mutermuter', 'aplikasi', 'online', 'paling', 'konyol']","['development', 'application', 'if', 'make', 'route', 'smart', 'little', 'don't', 'origin', 'route', 'close', 'explained', ','In fact ',' make ',' route ',' mutermuter ',' application ',' online ',' most ',' silly ']",development application if make route smart little dont origin route close explained In fact  make  route  mutermuter  application  online  most  silly ,positif,0.4754
"['first', 'impression', 'kasih', 'layan', 'kurang', 'muas', 'mksi']","['First', 'Impression', 'Love', 'Layan', 'Less', 'Muas', 'Mksi']",First Impression Love Layan Less Muas Mksi,positif,0.7269
"['aplikasi', 'jelek', 'ga', 'batal', 'transaksi', 'anjir', 'tulis', 'batal', 'tp', 'isi', 'ubah', 'order', 'kan', 'bodo']","['applications', 'ugly', 'not', 'canceled', 'transactions', 'anjir', 'write', 'canceled', 'tp', 'fill', 'change', 'order', ','right ',' bodo ']",applications ugly not canceled transactions anjir write canceled tp fill change order right  bodo ,negatif,-0.5106
"['marah', 'pcr', 'ku', 'gara', 'kamu']","['angry', 'PCR', 'Ku', 'Gara', 'You']",angry PCR Ku Gara You,negatif,-0.5106
"['tipu', 'hati', 'hati', 'sekolah', 'kemaren', 'datang', 'iklan', 'maxim', 'kasih', 'kode', 'promo', 'bonus', 'saldo', 'gratis', 'rb', 'kata', 'hari', 'jumat', 'jam', 'pakai', 'wk', 'nyata', 'gak', 'bener', 'palsu', 'bukti', 'nomor', 'kknya', 'yg', 'promosi', 'maxim', 'sekarang', 'gak', 'kabar', 'ceklis', 'gak', 'aktif', 'gak', 'pakai', 'saldo', 'sungguh', 'tipu', 'gagal', 'dpt', 'saldo', 'bonus', 'gak', 'dipake', 'cuma', 'angka', 'rb', 'gak', 'dipake', 'sdh', 'lewat', 'jam', 'sore', 'hari', 'jumat', 'tetap', 'gak']","['trick', 'heart', 'heart', 'school', 'yesterday', 'coming', 'advertisement', 'maxim', 'love', 'code', 'promo', 'bonus','The balance ',' free ',' rb ',' said ',' day ',' Friday ',' hours', 'use', 'wk', 'real', 'no', 'right', 'fake', 'proof', 'number', 'KKnya', 'YG', 'Promotion', 'Maxim', 'Now', 'No', 'News', 'Check', 'No', 'Active', ''No ',' use ',' balance ',' really ',' trickery ',' failed ',' DPT ',' Balance ',' Bonus', 'No', 'Use', 'Just', 'Numbers', 'RB', 'no', 'use', 'already', 'through', 'hours', 'afternoon', 'day', 'Friday', 'still', 'no']",trick heart heart school yesterday coming advertisement maxim love code promo bonusThe balance  free  rb  said  day  Friday  hours use wk real no right fake proof number KKnya YG Promotion Maxim Now No News Check No Active No  use  balance  really  trickery  failed  DPT  Balance  Bonus No Use Just Numbers RB no use already through hours afternoon day Friday still no,negatif,-0.7698
"['sangat', 'buruk', 'ojol', 'nya', 'mabuk']","['very', 'bad', 'ojol', 'it', 'drunk']",very bad ojol it drunk,negatif,-0.7346
"['halte', 'area', 'tunggu', 'gojek', 'sedikit', 'area', 'tunggu', 'maxsim', 'banyak', 'nunggu', 'nya', 'trotoar', 'moga', 'driver', 'maksim', 'sedikit', 'manusia', 'kan', 'order', 'sepi', 'driver', 'rame', 'batas', 'driver', 'apk', 'kator', 'cuma', 'focua', 'jual', 'atribut']","['bus stop', 'area', 'wait', 'gojek', 'a little', 'area', 'wait', 'Maxsim', 'many', 'waiting', 'his',' sidewalk ',' ','Moga ',' driver ',' maxim ',' little ',' human ',' right ',' order ',' quiet ',' driver ',' crowded ',' boundary ',' Driver ',' APK ', 'Kator', 'Just', 'Focua', 'Sell', 'Attribute']",bus stop area wait gojek a little area wait Maxsim many waiting his sidewalk  Moga  driver  maxim  little  human  right  order  quiet  driver  crowded  boundary  Driver  APK  Kator Just Focua Sell Attribute,negatif,-0.296
"['kode', 'otp', 'gak', 'muncul', 'lot']","['Code', 'OTP', 'No', 'Appears', 'Lot']",Code OTP No Appears Lot,negatif,-0.296
"['bayar', 'nya', 'beda', 'sama', 'aplikasi', 'nyadi', 'aplikasi', 'maxim', 'nya', 'ssdh', 'tempat', 'tuju', 'kata', 'driver', 'kata', 'nya', 'bayar', 'nya', 'bs', 'ubah', 'mas', 'padahal', 'tiap', 'minggu', 'pakai', 'maxim']","['pay', '', 'different', 'the same', 'application', 'application', 'nyadi', 'application', 'maxim', 'it', 'ssdh', 'place', 'aim', ','The words', 'driver', 'said', '', 'pay', 'it', 'bs',' change ',' Mas', 'Mas',' even though ',' every ',' Sunday ',' use ', 'Maxim']",pay  different the same application application nyadi application maxim it ssdh place aim The words driver said  pay it bs change  Mas Mas even though  every  Sunday  use  Maxim,negatif,-0.2023
"['aplikasi', 'yg', 'tak', 'pantas', 'guna', 'jumlah', 'bayar', 'yg', 'tak', 'sesuai', 'banyak', 'sopir', 'tukang', 'korupsi']","['application', 'that', 'no', 'appropriate', 'use', 'number', 'cost', 'which', 'no', 'appropriate', 'many', 'driver', ''handyman ',' corruption ']",application that no appropriate use number cost which no appropriate many driver handyman  corruption ,negatif,-0.4767
"['alih', 'alih', 'ngomong', 'buat', 'dapet', 'saldo', 'padahal', 'mah', 'cuman', 'potong', 'credit', 'pakai']","['instead', 'over', 'say', 'make', 'get', 'balance', 'even though', 'mah', 'just', 'cut', 'credit', 'use']",instead over say make get balance even though mah just cut credit use,positif,0.128
"['driver', 'nya', 'gak', 'mau', 'arah', 'bandara']","['Driver','nya ',' no ',' want ',' direction ',' airport ']",Drivernya  no  want  direction  airport ,negatif,-0.2263
"['aplikasi', 'nya', 'suka', 'bug', 'loading', 'terus', 'ga', 'masuk']","['application', '', 'like', 'bug', 'loading', 'loading', 'continue', 'no', 'enter']",application  like bug loading loading continue no enter,positif,0.0772
"['aplikator', 'gak', 'pikir', 'mitra', 'driver']","['applicator', 'no', 'thought', 'partner', 'driver']",applicator no thought partner driver,negatif,-0.296
"['aplikasi', 'sulitapalagi', 'kl', 'mau', 'cari', 'alamatsusah', 'hrs', 'buka', 'peta', 'dlitupun', 'kl', 'dapatmsh', 'jadul']","['Application', 'Difficult to', 'Kl', 'Want', 'Search', 'Address Sayer', 'Hrs', 'Open', 'Map', 'Dlitun', 'Kl', 'Can MSH', ','old school ']",Application Difficult to Kl Want Search Address Sayer Hrs Open Map Dlitun Kl Can MSH old school ,negatif,-0.296
"['aplikasi', 'terlalu', 'murah', 'mensrjahtrakan', 'driver']","['application', 'too', 'cheap', 'prosperous', 'driver']",application too cheap prosperous driver,positif,0.4767
"['gk', 'gunaklo', 'driver', 'yg', 'suka', 'cancel', 'sembarang', 'jngn', 'd', 'kerja', 'lagibuang', 'waktu']","['no', 'gunaklo', 'driver', 'yang', 'like', 'cancel', 'just any', 'don't', 'D', 'work', 'Work', 'Bakuanguang', 'Time']",no gunaklo driver yang like cancel just any dont D work Work Bakuanguang Time,negatif,-0.1779
"['definisi', 'aplikasi', 'buta', 'map', 'bukan', 'nunjukin', 'map', 'malah', 'buku', 'kotak', 'developer', 'paok']","['definition', 'application', 'blind', 'map', 'not', 'show', 'map', 'instead', 'book', 'box', 'box', 'developer', 'paok']",definition application blind map not show map instead book box box developer paok,negatif,-0.4019
['puas'],['satisfied'],satisfied,positif,0.4215
"['apk', 'paling', 'kacau', 'pas', 'order', 'berapa', 'pas', 'tempat', 'harga', 'beda', 'gila', 'banget', 'nih', 'maxim', 'naikin', 'harga', 'gaada', 'otak']","['apk', 'most', 'chaotic', 'fitting', 'order', 'how much', 'right', 'place', 'price', 'different', 'crazy', 'really', ''Here ',' Maxim ',' Raise ',' Price ',' Gaada ',' Brain ']",apk most chaotic fitting order how much right place price different crazy really Here  Maxim  Raise  Price  Gaada  Brain ,negatif,-0.7089
"['lah', 'mas', 'angebug', 'terus', 'menu', 'maxim', 'food', 'nya', 'benerin', 'dong', 'masa', 'ga', 'urus']","['lah', 'mas', 'angebug', 'continue', 'menu', 'maxim', 'food', 'it', 'right', 'please', 'period', 'no', ','Take care ']",lah mas angebug continue menu maxim food it right please period no Take care ,positif,0.5106
"['salah', 'masuk', 'blok', 'krna', 'maps', 'yg', 'tdak', 'baik']","['wrong', 'enter', 'block', 'Karna', 'Maps', 'YG', 'No', 'Good']",wrong enter block Karna Maps YG No Good,negatif,-0.6486
"['ga', 'jelas', 'anjg', 'orang', 'pesan', 'kendara', 'mobil', 'awal', 'k', 'jadi', 'k', 'padahal', 'ga', 'pencet', 'apa', 'apa', 'tempat', 'jemput', 'samapai', 'tuju', 'dekat', 'tp', 'malah', 'ga', 'jelas', 'maxim', 'ngasih', 'harga', 'begitudikasih', 'harga', 'maxim', 'nya', 'langsung', 'k', 'padahal', 'awal', 'k', 'gaje']","['GA', 'explained', 'Anjg', 'People', 'Message', 'Kendara', 'Car', 'Beginning', 'K', 'So', 'K', 'In fact', ','No ',' push ',' what ',' what ',' place ',' pick up ',' until ',' aim ',' close ',' tp ',' instead ',' no ',' clear ', 'Maxim', 'giving', 'price', 'like that', 'price', 'Maxim', 'Maxim', 'Direct', 'K', 'In fact', 'Beginning', 'K', ','Gaje ']",GA explained Anjg People Message Kendara Car Beginning K So K In fact No  push  what  what  place  pick up  until  aim  close  tp  instead  no  clear  Maxim giving price like that price Maxim Maxim Direct K In fact Beginning K Gaje ,positif,0.4284
"['kenpa', 'akun', 'buka', 'kecewa', 'maxim', 'padahal', 'suka', 'aplikasi', 'sekarang', 'kecewa', 'baget']","['why', 'account', 'open', 'disappointed', 'maxim', 'even though', 'like', 'application', 'now', 'disappointed', 'baget']",why account open disappointed maxim even though like application now disappointed baget,negatif,-0.5719
"['salah', 'antar', 'jadi', 'jalan', 'jauh', 'jadi']","['wrong', 'intercourse', 'so', 'walk', 'far', 'so']",wrong intercourse so walk far so,negatif,-0.4767
"['akhir', 'gua', 'pake', 'maxim', 'khusus', 'ojol', 'parah', 'banget', 'pertama', 'harga', 'gak', 'sesuai', 'aplikasi', 'omong', 'kasar', 'donk', 'kalo', 'punya', 'masalah', 'ama', 'pacar', 'tetap', 'jadi', 'orang', 'yg', 'profesional', 'kerja', 'gua', 'gak', 'bakal', 'kasih', 'tau', 'plat', 'nomor', 'identitas', 'orang', 'benah', 'bakal', 'hua', 'tandain', 'aerox', 'kuning', 'gua', 'ojol', 'stasiun', 'bekas', 'gunung', 'putri', 'ketemu', 'ojol', 'yg', 'bener', 'parah', 'mulut', 'kalo', 'gua', 'cela', 'paling', 'gua', 'cukup', 'bilang', 'babi', 'tuh', 'aerox', 'kuning']","['end', 'cave', 'use', 'maxim', 'special', 'ojol', 'bad', 'really', 'first', 'first', 'price', 'no', 'appropriate', '', 'Applications ',' talking ',' rude ',' donk ',' if ',' have ',' problem ',' ama ',' girlfriend ',' still ',' so ',' people ',' 'who', 'professional', 'work', 'cave', 'not', 'going', 'love', 'know', 'plate', 'number', 'identity', 'people', 'Benah', ','will ',' hua ',' sign ',' aerox ',' yellow ',' cave ',' ojol ',' station ',' former ',' mountain ',' daughter ',' daughter ',' meet ',' ojol ', 'YG', 'Really', 'Worse', 'Mouth', 'If', 'Cave', 'Defending', 'Most', 'Cave', 'Enough', 'said', 'Pig', ''tuh ',' aerox ',' yellow ']",end cave use maxim special ojol bad really first first price no appropriate  Applications  talking  rude  donk  if  have  problem  ama  girlfriend  still  so  people  who professional work cave not going love know plate number identity people Benah will  hua  sign  aerox  yellow  cave  ojol  station  former  mountain  daughter  daughter  meet  ojol  YG Really Worse Mouth If Cave Defending Most Cave Enough said Pig tuh  aerox  yellow ,negatif,-0.9344
"['tarif', 'nya', 'murah', 'driver', 'minta', 'tip', 'banyak', 'langsung', 'sesuai', 'drpd', 'konsumen', 'rugi', 'pesan', 'chat', 'ga', 'masuk', 'masuk']","['tariffs', '', 'cheap', 'driver', 'Driver', 'Ask', 'Tip', 'Tip', 'many', 'directly', 'right', 'appropriate', 'DRPD', 'Consumers', 'Loss', ','Message ',' chat ',' no ',' enter ',' enter ']",tariffs  cheap driver Driver Ask Tip Tip many directly right appropriate DRPD Consumers Loss Message  chat  no  enter  enter ,negatif,-0.5423
"['gak', 'guna', 'titik', 'driver', 'maps', 'nya', 'ngaco', 'langgan', 'setia', 'maxim', 'mending', 'sekarang', 'alih', 'ijo', 'gogrb', 'indriv', 'lebih', 'deket', 'lebih', 'akurat', 'maps', 'nya', 'gak', 'kaya', 'si', 'kuning', 'bisa', 'ngambang', 'aja', 'kali']","['no', 'use', 'dot', 'driver', 'maps', 'it', 'ngaco', 'Langgan', 'Setia', 'Maxim', 'Metch', 'Now', 'now'Others', 'Ijo', 'Gogb', 'Indriv', 'Indriv', 'more', 'close', 'more', 'accurate', 'Maps',' Maps', 'Maps',' No ',' No ',' Rich ',' Rich ',' Si ', 'yellow', 'can', 'floating', 'just', 'times']",no use dot driver maps it ngaco Langgan Setia Maxim Metch Now nowOthers Ijo Gogb Indriv Indriv more close more accurate Maps Maps Maps No  No  Rich  Rich  Si  yellow can floating just times,positif,0.3818
