content,tokenized_text,processed_text,translated_text,vader_sentiment
Kirim barang GK aman gak sampai tujuan,"['kirim', 'barang', 'gk', 'aman', 'gak', 'sampai', 'tujuan']","['kirim', 'barang', 'gk', 'aman', 'gak', 'tuju']","['Send', 'goods', 'not', 'safe', 'no', 'aim']",
Aplikasinya seringkali ngelag kalau mau mesan makanan,"['aplikasinya', 'seringkali', 'ngelag', 'kalau', 'mau', 'mesan', 'makanan']","['aplikasi', 'seringkali', 'ngelag', 'kalau', 'mau', 'mesan', 'makan']","['application', 'often', 'blank', 'if', 'want', 'mesan', 'eat']",
"tolong diperbaiki fitur nontunainya, masa isi untuk cashpronbha nunggu hampir 30menit baru masuk topupnya.. jadi lama orang mau berangkat hadeh","['tolong', 'diperbaiki', 'fitur', 'nontunainya', 'masa', 'isi', 'untuk', 'cashpronbha', 'nunggu', 'hampir', 'menit', 'baru', 'masuk', 'topupnya', 'jadi', 'lama', 'orang', 'mau', 'berangkat', 'hadeh']","['baik', 'fitur', 'nontunainya', 'masa', 'isi', 'cashpronbha', 'nunggu', 'hampir', 'menit', 'baru', 'masuk', 'topupnya', 'jadi', 'lama', 'orang', 'mau', 'berangkat', 'hadeh']","['good', 'features', 'non -date', 'time', 'content', 'cashpronbha', 'wait', 'almost', 'minutes', 'new', 'enter', 'topup', ','So ',' old ',' people ',' want ',' departed ',' hadeh ']",positif
Saya mau daftar kan Mobil Avanza Veloz tahun 2013 bisa gak ya.mohon bantuannya,"['saya', 'mau', 'daftar', 'kan', 'mobil', 'avanza', 'veloz', 'tahun', 'bisa', 'gak', 'yamohon', 'bantuannya']","['mau', 'daftar', 'kan', 'mobil', 'avanza', 'veloz', 'tahun', 'gak', 'yamohon', 'bantu']","['want', 'list', 'right', 'car', 'Avanza', 'Veloz', 'Year', 'No', 'Yamohon', 'Help']",
Mau tanya pak syarat untuk daftar jdi drever apa aja dan klo GK punya apa bisa dengan cara lain🙏,"['mau', 'tanya', 'pak', 'syarat', 'untuk', 'daftar', 'jdi', 'drever', 'apa', 'aja', 'dan', 'klo', 'gk', 'punya', 'apa', 'bisa', 'dengan', 'cara', 'lain']","['mau', 'tanya', 'pak', 'syarat', 'daftar', 'jdi', 'drever', 'apa', 'aja', 'klo', 'gk', 'punya', 'apa', 'cara']","['Want', 'Ask', 'Sir', 'Requirements',' Register ',' So ',' Driver ',' What ',' Just ',' If ',' GK ',' Have ',' ','what ',' way ']",
"kadang mikir kasian driver ongkos tambah murah jarak tambah jauh, mereka ga ada insentif juga","['kadang', 'mikir', 'kasian', 'driver', 'ongkos', 'tambah', 'murah', 'jarak', 'tambah', 'jauh', 'mereka', 'ga', 'ada', 'insentif', 'juga']","['kadang', 'mikir', 'kasi', 'driver', 'ongkos', 'tambah', 'murah', 'jarak', 'tambah', 'jauh', 'ga', 'insentif']","['sometimes', 'think', 'Kasi', 'driver', 'cost', 'added', 'cheap', 'distance', 'added', 'far', 'no', 'incentive']",
pengemudi Tidak sampai,"['pengemudi', 'tidak', 'sampai']",['kemudi'],['steering'],
"Gak jadi bintang 5 karna aplikasihnya masih kayak duluh. di aplikasih bilang 2menit lg nyampai draivernya,ternyata masih jauh,bikin anak saya telat aja.","['gak', 'jadi', 'bintang', 'karna', 'aplikasihnya', 'masih', 'kayak', 'duluh', 'di', 'aplikasih', 'bilang', 'menit', 'lg', 'nyampai', 'draivernyaternyata', 'masih', 'jauhbikin', 'anak', 'saya', 'telat', 'aja']","['gak', 'jadi', 'bintang', 'karna', 'aplikasihnya', 'kayak', 'duluh', 'aplikasih', 'bilang', 'menit', 'lg', 'nyampai', 'draivernyaternyata', 'jauhbikin', 'anak', 'telat', 'aja']","['no', 'so', 'star', 'because', 'the application', 'like', 'first', 'application', 'said', 'minutes', 'lg', 'reach', ','Draivenyatnyata Tanguk ',' far ',' child ',' late ',' just ']",
Ga bisa mesen mkn,"['ga', 'bisa', 'mesen', 'mkn']","['ga', 'mesen', 'mkn']","['no', 'order', 'eat']",
salah titij,"['salah', 'titij']","['salah', 'titij']","['wrong', 'point']",
"Drive nya milih² tarif .. Ngak bagus buat pesan makanan ... Aku dari sulawesi , privinsi gorontalo Mohon di prebaiki yah","['drive', 'nya', 'milih', 'tarif', 'ngak', 'bagus', 'buat', 'pesan', 'makanan', 'aku', 'dari', 'sulawesi', 'privinsi', 'gorontalo', 'mohon', 'di', 'prebaiki', 'yah']","['drive', 'nya', 'milih', 'tarif', 'ngak', 'bagus', 'buat', 'pesan', 'makan', 'aku', 'sulawesi', 'privinsi', 'gorontalo', 'mohon', 'prebaiki', 'yah']","['Drive', 'His',' Choose ',' Tariff ',' Ngak ',' Good ',' Create ',' Message ',' Eat ',' I ',' Sulawesi ',' Privisions', '', 'Gorontalo ',' Please ',' Prebechik ',' Yah ']",positif
"Saya bener"" kecewa Ama supir Maxim masa iya , di dalem mobil nya masih ada barang saya , dia bilang nggak ada, udah mana di dalem tas saya barang"" berharga semua lagi apa lagi sarung saya hargane jutaan,hadeehhh,udah mana ngotot lagii supirne😤😡😡","['saya', 'bener', 'kecewa', 'ama', 'supir', 'maxim', 'masa', 'iya', 'di', 'dalem', 'mobil', 'nya', 'masih', 'ada', 'barang', 'saya', 'dia', 'bilang', 'nggak', 'ada', 'udah', 'mana', 'di', 'dalem', 'tas', 'saya', 'barang', 'berharga', 'semua', 'lagi', 'apa', 'lagi', 'sarung', 'saya', 'hargane', 'jutaanhadeehhhudah', 'mana', 'ngotot', 'lagii', 'supirne']","['bener', 'kecewa', 'ama', 'supir', 'maxim', 'masa', 'iya', 'dalem', 'mobil', 'nya', 'barang', 'bilang', 'udah', 'mana', 'dalem', 'tas', 'barang', 'harga', 'semua', 'apa', 'sarung', 'hargane', 'jutaanhadeehhhudah', 'mana', 'ngotot', 'lagi', 'supirne']","['really', 'disappointed', 'ama', 'driver', 'Maxim', 'period', 'yes', 'palace', 'car', 'it', 'goods', 'said', ','Already ',' where ',' dalem ',' bag ',' goods ',' price ',' all ',' what ',' sarong ',' Hargane ',' millionshadeehhhhhhhhhhhhhhhhhhhh, 'Again', 'SUPIRNE']",
"Maaf yah ini aku ksih bintang 1, kalaupun ada bintang 0 gw pasti bakal ksih bintang 0, emang wktu milih driver Maxim itu gk di seleksi yahhhh, driver nya rata2 ganjen2 apalagi yg driver mobil hdehhh ganjen2 bgtt jing","['maaf', 'yah', 'ini', 'aku', 'ksih', 'bintang', 'kalaupun', 'ada', 'bintang', 'gw', 'pasti', 'bakal', 'ksih', 'bintang', 'emang', 'wktu', 'milih', 'driver', 'maxim', 'itu', 'gk', 'di', 'seleksi', 'yahhhh', 'driver', 'nya', 'rata', 'ganjen', 'apalagi', 'yg', 'driver', 'mobil', 'hdehhh', 'ganjen', 'bgtt', 'jing']","['maaf', 'yah', 'aku', 'ksih', 'bintang', 'kalaupun', 'bintang', 'gw', 'bakal', 'ksih', 'bintang', 'emang', 'wktu', 'milih', 'driver', 'maxim', 'gk', 'seleksi', 'yahhhh', 'driver', 'nya', 'rata', 'ganjen', 'yg', 'driver', 'mobil', 'hdehhh', 'ganjen', 'bgtt', 'jing']","['sorry', 'well', 'me', 'ksih', 'star', 'even', 'star', 'I', 'will', 'ksih', 'star', 'indeed', ''wktu ',' choose ',' driver ',' maxim ',' no ',' selection ',' yahhhh ',' driver ',' it ',' flat ',' ganjen ',' yang ',' driver ', 'Cars', 'Hdehhh', 'Ganjen', 'Bgtt', 'Jing']",negatif
driver nya ngga ramah dan ngga sopan,"['driver', 'nya', 'ngga', 'ramah', 'dan', 'ngga', 'sopan']","['driver', 'nya', 'ngga', 'ramah', 'ngga', 'sopan']","['Driver', 'his', 'no', 'friendly', 'no', 'polite']",
"Download dari tadi siang, skrg udh malem pesan makan aja ga bisa bisa.","['download', 'dari', 'tadi', 'siang', 'skrg', 'udh', 'malem', 'pesan', 'makan', 'aja', 'ga', 'bisa', 'bisa']","['download', 'tadi', 'siang', 'skrg', 'udh', 'malem', 'pesan', 'makan', 'aja', 'ga']","['download', 'earlier', 'afternoon', 'now', 'udh', 'night', 'message', 'eat', 'just', 'ga']",
"Aplikasi ini tidak ada perubahan dari dulu, masih aja titiknya ngaco.","['aplikasi', 'ini', 'tidak', 'ada', 'perubahan', 'dari', 'dulu', 'masih', 'aja', 'titiknya', 'ngaco']","['aplikasi', 'ubah', 'dulu', 'aja', 'titik', 'ngaco']","['application', 'change', 'first', 'just', 'dot', 'ngaco']",
Berulang kali kode oto tidak masuk masuk,"['berulang', 'kali', 'kode', 'oto', 'tidak', 'masuk', 'masuk']","['ulang', 'kali', 'kode', 'oto', 'masuk', 'masuk']","['repeated', 'times', 'code', 'OTP', 'enter', 'enter']",
Bnyk bug,"['bnyk', 'bug']","['bnyk', 'bug']","['many', 'bug']",
Hati hati harga bisa berubah pada saat tempat tujuan.kemungkinan oknum driver memanfaatkan waktu tunggu gratis..hati hati...,"['hati', 'hati', 'harga', 'bisa', 'berubah', 'pada', 'saat', 'tempat', 'tujuankemungkinan', 'oknum', 'driver', 'memanfaatkan', 'waktu', 'tunggu', 'gratishati', 'hati']","['hati', 'hati', 'harga', 'ubah', 'tempat', 'tujuankemungkinan', 'oknum', 'driver', 'manfaat', 'waktu', 'tunggu', 'gratishati', 'hati']","['heart', 'heart', 'price', 'change', 'place', 'purpose of possibility', 'person', 'driver', 'benefits', 'time', 'wait', 'free free','heart']",positif
"Usahain mapnya g ngaco,masa driver g bw kembalian, seharusny ada fitur batalkan pesanan jika customer berubah pikiran bukan harus menunggu lama sampai dapat pengemudi 😦","['usahain', 'mapnya', 'g', 'ngacomasa', 'driver', 'g', 'bw', 'kembalian', 'seharusny', 'ada', 'fitur', 'batalkan', 'pesanan', 'jika', 'customer', 'berubah', 'pikiran', 'bukan', 'harus', 'menunggu', 'lama', 'sampai', 'dapat', 'pengemudi']","['usahain', 'map', 'g', 'ngacomasa', 'driver', 'g', 'bw', 'kembali', 'seharusny', 'fitur', 'batal', 'pesan', 'customer', 'ubah', 'pikir', 'bukan', 'tunggu', 'lama', 'kemudi']","['try', 'map', 'g', 'ngamomasa', 'driver', 'g', 'bw', 'back', 'should', 'features', 'canceled', 'message', ','Customer ',' change ',' thought ',' not ',' wait ',' old ',' steering ']",
"Kalau bisaaa, driver maxim di test lagidehhh cara baca mapsss,udah 20 kali saya selalu kesel tiap tungguin drivernya lebih dari 10 mwnit saya tunggu karena mereka selalu nyasar...padahal saya JELAS menjelaskan secara rinci alamat rumah saya tapi mereka tidak PAHAM2 JUGAA","['kalau', 'bisaaa', 'driver', 'maxim', 'di', 'test', 'lagidehhh', 'cara', 'baca', 'mapsssudah', 'kali', 'saya', 'selalu', 'kesel', 'tiap', 'tungguin', 'drivernya', 'lebih', 'dari', 'mwnit', 'saya', 'tunggu', 'karena', 'mereka', 'selalu', 'nyasarpadahal', 'saya', 'jelas', 'menjelaskan', 'secara', 'rinci', 'alamat', 'rumah', 'saya', 'tapi', 'mereka', 'tidak', 'paham', 'jugaa']","['kalau', 'bisaaa', 'driver', 'maxim', 'test', 'lagidehhh', 'cara', 'baca', 'mapsssudah', 'kali', 'selalu', 'kesel', 'tiap', 'tungguin', 'drivernya', 'lebih', 'mwnit', 'tunggu', 'selalu', 'nyasarpadahal', 'jelas', 'jelas', 'rinci', 'alamat', 'rumah', 'paham', 'jugaa']","['If', 'can', 'driver', 'Maxim', 'test', 'moredehhh', 'way', 'read', 'mapsssas already,' times ',' always ',' upset ','Every ', wait', 'the driver', 'more', 'mwnit', 'wait', 'always', 'straying expensive', 'explained', 'explained', 'detailed', 'address', 'home', 'understand', 'too']",negatif
Apk masa titik penjemputan tidak jelas,"['apk', 'masa', 'titik', 'penjemputan', 'tidak', 'jelas']","['apk', 'masa', 'titik', 'jemput', 'jelas']","['apk', 'period', 'point', 'pick up', 'explained']",
"Terlalu sulit ketika ingin login kembali,,,maps juga kurang akurat tidak seperti aplikasi hijau","['terlalu', 'sulit', 'ketika', 'ingin', 'login', 'kembalimaps', 'juga', 'kurang', 'akurat', 'tidak', 'seperti', 'aplikasi', 'hijau']","['terlalu', 'sulit', 'login', 'kembalimaps', 'kurang', 'akurat', 'aplikasi', 'hijau']","['too', 'difficult', 'login', 'backmaps', 'less', 'accurate', 'application', 'green']",
Kenapa Dapat drivernya lama sekali ya?? Padahal di titik lokasi jemput banyak sekalk driver yang sedang mangkal,"['kenapa', 'dapat', 'drivernya', 'lama', 'sekali', 'ya', 'padahal', 'di', 'titik', 'lokasi', 'jemput', 'banyak', 'sekalk', 'driver', 'yang', 'sedang', 'mangkal']","['drivernya', 'lama', 'sekali', 'padahal', 'titik', 'lokasi', 'jemput', 'banyak', 'kalk', 'driver', 'sedang', 'mangkal']","['the driver', 'old', 'once', 'even though', 'dot', 'location', 'pick up', 'many', 'kalk', 'driver', 'medium', 'mangkal']",
"Maxim yg drivernya pada ngaku terzolimi karna harga ongkosnya minim bahkan pajak order lumayan ini ceo maxim mau bikin kerja rodi kaya jaman belanda?! Driver perlu makan, belum lagi resiko di jalan, biaya buat perawatan motor ganti oli ban bocor terus kerusakan lain, jangan di cekik hagra orderan murah kelewatan pajak gila, namanya lu mau kaya sendiri untung sendiri tapi yg lu pekerjakan lu cekik lu peres sampe kering, apa bedanya sama belanda cuma beda gaya doang","['maxim', 'yg', 'drivernya', 'pada', 'ngaku', 'terzolimi', 'karna', 'harga', 'ongkosnya', 'minim', 'bahkan', 'pajak', 'order', 'lumayan', 'ini', 'ceo', 'maxim', 'mau', 'bikin', 'kerja', 'rodi', 'kaya', 'jaman', 'belanda', 'driver', 'perlu', 'makan', 'belum', 'lagi', 'resiko', 'di', 'jalan', 'biaya', 'buat', 'perawatan', 'motor', 'ganti', 'oli', 'ban', 'bocor', 'terus', 'kerusakan', 'lain', 'jangan', 'di', 'cekik', 'hagra', 'orderan', 'murah', 'kelewatan', 'pajak', 'gila', 'namanya', 'lu', 'mau', 'kaya', 'sendiri', 'untung', 'sendiri', 'tapi', 'yg', 'lu', 'pekerjakan', 'lu', 'cekik', 'lu', 'peres', 'sampe', 'kering', 'apa', 'bedanya', 'sama', 'belanda', 'cuma', 'beda', 'gaya', 'doang']","['maxim', 'yg', 'drivernya', 'ngaku', 'terzolimi', 'karna', 'harga', 'ongkos', 'minim', 'bahkan', 'pajak', 'order', 'lumayan', 'ceo', 'maxim', 'mau', 'bikin', 'kerja', 'rodi', 'kaya', 'jaman', 'belanda', 'driver', 'perlu', 'makan', 'resiko', 'jalan', 'biaya', 'buat', 'awat', 'motor', 'ganti', 'oli', 'ban', 'bocor', 'terus', 'rusa', 'jangan', 'cekik', 'hagra', 'order', 'murah', 'lewat', 'pajak', 'gila', 'nama', 'lu', 'mau', 'kaya', 'sendiri', 'untung', 'sendiri', 'yg', 'lu', 'kerja', 'lu', 'cekik', 'lu', 'peres', 'sampe', 'kering', 'apa', 'beda', 'sama', 'belanda', 'cuma', 'beda', 'gaya', 'doang']","['Maxim', 'YG', 'Driver', 'Confess', 'Terzolimi', 'Karna', 'Price', 'Cost', 'Minimal', 'Even', 'Tax', 'Tax', 'Order', ''Not bad ',' CEO ',' Maxim ',' Want ',' Make ',' Work ',' Rodi ',' Rich ',' Age ',' Dutch ',' Driver ',' Driver ',' Need ',' Eat ', 'risk', 'walk', 'cost', 'make', 'Awat', 'Motor', 'Replace', 'Oil', 'Ban', 'BOOK', 'Continue', 'Continue', 'Deer', ','Don't ',' Crack ',' Hagra ',' Order ',' Cheap ',' Cheap ',' Through ',' Tax ',' Crazy ',' Name ',' Lu ',' Want ',' Rich ',' Self ', 'fortunately', 'alone', 'YG', 'Lu', 'Work', 'Lu', 'Cool', 'Lu', 'Peres',' Sampe ',' Dry ',' What ',' ','Different ',' Same ',' Netherlands', 'Just', 'Different', 'Style', 'Doang']",positif
"Tiap pesan makanan katanya di titiknya gada tokonya terus mamangny tanya tokonya dimana, aku juga gatau lah kan aku org baru disini makanya ngandalin maxim. Selalu gitu terus tiap pesan makanan. Intinya tiap tokonya selalu antara dibilang udh tutup kalo ga dititiknya gada yg jualan","['tiap', 'pesan', 'makanan', 'katanya', 'di', 'titiknya', 'gada', 'tokonya', 'terus', 'mamangny', 'tanya', 'tokonya', 'dimana', 'aku', 'juga', 'gatau', 'lah', 'kan', 'aku', 'org', 'baru', 'disini', 'makanya', 'ngandalin', 'maxim', 'selalu', 'gitu', 'terus', 'tiap', 'pesan', 'makanan', 'intinya', 'tiap', 'tokonya', 'selalu', 'antara', 'dibilang', 'udh', 'tutup', 'kalo', 'ga', 'dititiknya', 'gada', 'yg', 'jualan']","['tiap', 'pesan', 'makan', 'kata', 'titik', 'gada', 'toko', 'terus', 'mamangny', 'tanya', 'toko', 'aku', 'gatau', 'lah', 'kan', 'aku', 'org', 'baru', 'sini', 'makanya', 'ngandalin', 'maxim', 'selalu', 'gitu', 'terus', 'tiap', 'pesan', 'makan', 'inti', 'tiap', 'toko', 'selalu', 'bilang', 'udh', 'tutup', 'kalo', 'ga', 'titik', 'gada', 'yg', 'jual']","['every', 'message', 'eat', 'said', 'point', 'gada', 'shop', 'continue', 'mamangny', 'asked', 'shop', 'me', ''Gatau ',' lah ',' right ',' me ',' org ',' new ',' here ',' that's why ',' ngandalin ',' maxim ',' always', 'so', 'continue', 'every', 'message', 'eating', 'core', 'every', 'shop', 'always', 'say', 'udh', 'closed', 'if', 'no', ''Point ',' Gada ',' YG ',' Selling ']",
Susah login,"['susah', 'login']","['susah', 'login']","['difficult', 'login']",
"3x pesan,driver selalu minta nambah tarif dari yang ada di aplikasi..","['x', 'pesandriver', 'selalu', 'minta', 'nambah', 'tarif', 'dari', 'yang', 'ada', 'di', 'aplikasi']","['x', 'pesandriver', 'selalu', 'minta', 'nambah', 'tarif', 'aplikasi']","['x', 'pesandriver', 'always', 'ask', 'add', 'tariff', 'application']",
"Titik tujuan tidak sesuai dengan tujuan,sehingga kadang kita mesti kenak biaya tambahan karna titik tujuan gak sesuai,pengemudi mesi banyak yang kurang pengalaman di jalan,beda dengan apk ojol yang lain titik tujuan tepat dan pengemudi ramah dan juga handal ini rata - rata pengemudi nya seperti baru belajar bawa mobil,maaf saya kecewa dengan apk ini","['titik', 'tujuan', 'tidak', 'sesuai', 'dengan', 'tujuansehingga', 'kadang', 'kita', 'mesti', 'kenak', 'biaya', 'tambahan', 'karna', 'titik', 'tujuan', 'gak', 'sesuaipengemudi', 'mesi', 'banyak', 'yang', 'kurang', 'pengalaman', 'di', 'jalanbeda', 'dengan', 'apk', 'ojol', 'yang', 'lain', 'titik', 'tujuan', 'tepat', 'dan', 'pengemudi', 'ramah', 'dan', 'juga', 'handal', 'ini', 'rata', 'rata', 'pengemudi', 'nya', 'seperti', 'baru', 'belajar', 'bawa', 'mobilmaaf', 'saya', 'kecewa', 'dengan', 'apk', 'ini']","['titik', 'tuju', 'sesuai', 'tujuansehingga', 'kadang', 'mesti', 'nak', 'biaya', 'tambah', 'karna', 'titik', 'tuju', 'gak', 'sesuaipengemudi', 'mes', 'banyak', 'kurang', 'alam', 'jalanbeda', 'apk', 'ojol', 'titik', 'tuju', 'tepat', 'kemudi', 'ramah', 'handal', 'rata', 'rata', 'kemudi', 'nya', 'baru', 'ajar', 'bawa', 'mobilmaaf', 'kecewa', 'apk']","['point', 'go to', 'appropriate', 'destination so', 'sometimes', 'must', 'nak', 'cost', 'added', 'Karna', 'point', 'aim', ','No ',' according to the ',' mes', 'many', 'lacking', 'nature', 'JalanBeda', 'APK', 'Ojol', 'Titik', 'Titu', 'right', 'right', 'steering', 'friendly', 'reliable', 'flat', 'flat', 'steering', 'it', 'new', 'teach', 'bring', 'mobilmaaf', 'disappointed', 'apk']",
Kode otp utk pendaftaran enggk pernah terkirim2. Operator indosat.,"['kode', 'otp', 'utk', 'pendaftaran', 'enggk', 'pernah', 'terkirim', 'operator', 'indosat']","['kode', 'otp', 'utk', 'daftar', 'enggk', 'pernah', 'kirim', 'operator', 'indosat']","['Code', 'OTP', 'for', 'Register', 'Gakk', 'Never', 'Send', 'Operators', 'Indosat']",
"Pesanan makanan tidak datang. Lama baru dapat pengemudinya, tapi makanan tidak datang.","['pesanan', 'makanan', 'tidak', 'datang', 'lama', 'baru', 'dapat', 'pengemudinya', 'tapi', 'makanan', 'tidak', 'datang']","['pesan', 'makan', 'datang', 'lama', 'baru', 'mud', 'makan', 'datang']","['message', 'eat', 'come', 'old', 'new', 'mud', 'eating', 'coming']",
order 65rb sampai tujuan jadi 85rb mengecewakan,"['order', 'rb', 'sampai', 'tujuan', 'jadi', 'rb', 'mengecewakan']","['order', 'rb', 'tuju', 'jadi', 'rb', 'kecewa']","['order', 'rb', 'go to', 'So', 'rb', 'disappointed']",
"Pelayanan macam apa ini,masa di opsi pembatalan makanan tdk ada mana pas ubah orderan bukan malah ke ubah malah orderan yang lain datang,minuss akall ini aplikasi perass duit orng","['pelayanan', 'macam', 'apa', 'inimasa', 'di', 'opsi', 'pembatalan', 'makanan', 'tdk', 'ada', 'mana', 'pas', 'ubah', 'orderan', 'bukan', 'malah', 'ke', 'ubah', 'malah', 'orderan', 'yang', 'lain', 'datangminuss', 'akall', 'ini', 'aplikasi', 'perass', 'duit', 'orng']","['layan', 'macam', 'apa', 'inimasa', 'opsi', 'batal', 'makan', 'tdk', 'mana', 'pas', 'ubah', 'order', 'bukan', 'malah', 'ubah', 'malah', 'order', 'datangminuss', 'akall', 'aplikasi', 'perass', 'duit', 'orng']","['Layan', 'Kind', 'What', 'IniMasa', 'Option', 'Cancel', 'Eat', 'Eat', 'No', 'No', 'Where', 'Pas', 'Change', 'Change', 'Order', ','Not ',' instead ',' change ',' instead ',' Order ',' ComesMinuss', 'Akall', 'Application', 'Perass',' Money ',' Orng ']",
salah rute,"['salah', 'rute']","['salah', 'rute']","['wrong', 'route']",
Driver sulit di temukan area kubar,"['driver', 'sulit', 'di', 'temukan', 'area', 'kubar']","['driver', 'sulit', 'temu', 'area', 'bar']","['Driver', 'Difficult', 'Temu', 'Area', 'Bar']",
"Mending hapus aja fitur maxim foodny, pelaksa juga nggak ada yang tertarik ingin mengambil orderan, terima kasih","['mending', 'hapus', 'aja', 'fitur', 'maxim', 'foodny', 'pelaksa', 'juga', 'nggak', 'ada', 'yang', 'tertarik', 'ingin', 'mengambil', 'orderan', 'terima', 'kasih']","['mending', 'hapus', 'aja', 'fitur', 'maxim', 'foodny', 'laksa', 'tarik', 'ambil', 'order', 'terima', 'kasih']","['mending', 'delete', 'just', 'features', 'maxim', 'foodny', 'laksa', 'pull', 'take', 'order', 'accept', 'love']",
Peta nya gak jelaaaaaaas,"['peta', 'nya', 'gak', 'jelaaaaaaas']","['peta', 'nya', 'gak', 'jelaaaaaaas']","['map', 'it', 'no', 'jelaaaaaaas']",
"JANGAN MIKIRIN CUSTOMER SAJA, LO PIKIRIN TUH MITRA LO LO PADA.. !!!! YG NAIK ORG KAYA ORG KANTORAN RUMAH GEDONG UDEH MURAH DI PROMOIN JUGA, UDEH GITU GAYA NYE PADA KAYA SOK SULTAN GAYA ELIT EKONOMI SULIT..!!!!","['jangan', 'mikirin', 'customer', 'saja', 'lo', 'pikirin', 'tuh', 'mitra', 'lo', 'lo', 'pada', 'yg', 'naik', 'org', 'kaya', 'org', 'kantoran', 'rumah', 'gedong', 'udeh', 'murah', 'di', 'promoin', 'juga', 'udeh', 'gitu', 'gaya', 'nye', 'pada', 'kaya', 'sok', 'sultan', 'gaya', 'elit', 'ekonomi', 'sulit']","['jangan', 'mikirin', 'customer', 'lo', 'pikirin', 'tuh', 'mitra', 'lo', 'lo', 'yg', 'naik', 'org', 'kaya', 'org', 'kantor', 'rumah', 'gedong', 'udeh', 'murah', 'promoin', 'udeh', 'gitu', 'gaya', 'nye', 'kaya', 'sok', 'sultan', 'gaya', 'elit', 'ekonomi', 'sulit']","['Don't', 'Think about', 'Customer', 'Lo', 'Think', 'Tuh', 'Mitra', 'Lo', 'Lo', 'Yang', 'Rise', 'Org', ','rich ',' org ',' office ',' home ',' gedong ',' udeh ',' cheap ',' promoin ',' udeh ',' so ',' style ',' style ',' nye ',' rich ', 'pretentious', 'sultan', 'style', 'elite', 'economy', 'difficult']",positif
Applikasi rusak akun selalu keluar sendiri diapa2in nggak malah keluar orang mau kerja jadi susah aneh 2hp semua kayak begitu,"['applikasi', 'rusak', 'akun', 'selalu', 'keluar', 'sendiri', 'diapain', 'nggak', 'malah', 'keluar', 'orang', 'mau', 'kerja', 'jadi', 'susah', 'aneh', 'hp', 'semua', 'kayak', 'begitu']","['applikasi', 'rusak', 'akun', 'selalu', 'keluar', 'sendiri', 'diapain', 'malah', 'keluar', 'orang', 'mau', 'kerja', 'jadi', 'susah', 'aneh', 'hp', 'semua', 'kayak']","['application', 'enter', 'account', 'always', 'out', 'yourself', 'what is', 'instead', 'out', 'people', 'want', 'work','So', 'difficult', 'weird', 'cellphone', 'all', 'like']",
"TOLONG PERBAIKI TITIK PESANANNYA, SAYA JADI BAYAR LEBIH MAHAL CUMAN GEGARA INI","['tolong', 'perbaiki', 'titik', 'pesanannya', 'saya', 'jadi', 'bayar', 'lebih', 'mahal', 'cuman', 'gegara', 'ini']","['baik', 'titik', 'pesan', 'jadi', 'bayar', 'lebih', 'mahal', 'cuman', 'gegara']","['good', 'dot', 'message', 'so', 'pay', 'more', 'expensive', 'only', 'gegara']",
Ini maxim malah jadi kek kntl di bikin bingung pas mau pesan go car...ada mentri lah gubernur juga apaan gjls kek pemerintah taik,"['ini', 'maxim', 'malah', 'jadi', 'kek', 'kntl', 'di', 'bikin', 'bingung', 'pas', 'mau', 'pesan', 'go', 'carada', 'mentri', 'lah', 'gubernur', 'juga', 'apaan', 'gjls', 'kek', 'pemerintah', 'taik']","['maxim', 'malah', 'jadi', 'kek', 'kntl', 'bikin', 'bingung', 'pas', 'mau', 'pesan', 'go', 'carada', 'tri', 'lah', 'gubernur', 'apa', 'gjls', 'kek', 'perintah', 'taik']","['Maxim', 'instead', 'So', 'kek', 'Kntl', 'make', 'confused', 'fitting', 'want', 'message', 'Go', 'Carada', ','Tri ',' lah ',' Governor ',' what ',' gjls', 'kek', 'command', 'taik']",
"aplikasi taik,gk bisa di akses pada cuaca hujan,anjiing","['aplikasi', 'taikgk', 'bisa', 'di', 'akses', 'pada', 'cuaca', 'hujananjiing']","['aplikasi', 'taikgk', 'akses', 'cuaca', 'hujananjiing']","['application', 'taikgk', 'access', 'weather', 'rainanjiing']",
baik,['baik'],['baik'],['Good'],
